   PROB;   COLI;   GOOD;    0/4;    1/4;    2/4;    3/4;    4/4;
      1;      1;    159;  49842;    157;      1;      0;      0;
      2;      1;    469;  49533;    465;      2;      0;      0;
      3;      2;    931;  49076;    918;      5;      1;      0;
      4;      4;   1518;  48495;   1493;     11;      1;      0;
      5;      8;   2228;  47806;   2161;     32;      1;      0;
      6;     22;   3026;  47055;   2866;     77;      2;      0;
      7;     42;   4013;  46117;   3757;    122;      4;      0;
      8;     70;   5165;  45055;   4735;    200;     10;      0;
      9;    104;   6431;  43891;   5800;    296;     13;      0;
     10;    158;   7798;  42664;   6896;    419;     20;      1;
     11;    226;   9333;  41318;   8062;    591;     27;      2;
     12;    324;  11031;  39860;   9304;    784;     49;      3;
     13;    442;  12716;  38469;  10420;   1042;     64;      5;
     14;    588;  14493;  37010;  11583;   1318;     82;      7;
     15;    768;  16317;  35568;  12666;   1655;    103;      8;
     16;    972;  18307;  34017;  13816;   2019;    139;      9;
     17;   1247;  20298;  32511;  14880;   2422;    174;     13;
     18;   1513;  22439;  30998;  15830;   2920;    239;     13;
     19;   1830;  24596;  29513;  16721;   3440;    309;     17;
     20;   2228;  26828;  28024;  17565;   3992;    397;     22;
     21;   2655;  29045;  26554;  18392;   4538;    487;     29;
     22;   3153;  31262;  25245;  18936;   5167;    616;     36;
     23;   3755;  33453;  23968;  19450;   5787;    751;     44;
     24;   4353;  35861;  22672;  19846;   6488;    937;     57;
     25;   5027;  38207;  21414;  20235;   7151;   1130;     70;
     26;   5753;  40492;  20226;  20548;   7818;   1324;     84;
     27;   6631;  42754;  19094;  20807;   8449;   1551;     99;
     28;   7550;  44968;  18056;  20951;   9097;   1761;    135;
     29;   8552;  47154;  17072;  21078;   9645;   2034;    171;
     30;   9594;  49295;  16134;  21095;  10315;   2254;    202;
     31;  10748;  51356;  15246;  21103;  10935;   2481;    235;
     32;  11957;  53394;  14436;  21021;  11536;   2727;    280;
     33;  13265;  55402;  13636;  20983;  12032;   3041;    308;
     34;  14700;  57214;  12963;  20868;  12503;   3324;    342;
     35;  16240;  58899;  12350;  20748;  12936;   3585;    381;
     36;  17827;  60531;  11834;  20542;  13314;   3879;    431;
     37;  19553;  62190;  11290;  20307;  13798;   4133;    472;
     38;  21361;  63783;  10792;  20121;  14125;   4436;    526;
     39;  23168;  65314;  10284;  19987;  14451;   4687;    591;
     40;  25130;  66627;   9857;  19876;  14678;   4961;    628;
     41;  27101;  68044;   9466;  19594;  15061;   5188;    691;
     42;  29278;  69041;   9167;  19439;  15307;   5360;    727;
     43;  31575;  69983;   8929;  19204;  15575;   5539;    753;
     44;  33892;  70875;   8708;  19038;  15739;   5701;    814;
     45;  36312;  71586;   8505;  18909;  15938;   5791;    857;
     46;  38776;  72277;   8299;  18805;  16081;   5950;    865;
     47;  41346;  72783;   8207;  18625;  16241;   6032;    895;
     48;  44006;  73180;   8092;  18648;  16111;   6286;    863;
     49;  46763;  73472;   8038;  18521;  16263;   6287;    891;
     50;  49470;  73641;   7960;  18511;  16349;   6288;    892;
     51;  52228;  73725;   7886;  18578;  16324;   6349;    863;
     52;  55096;  73660;   7918;  18602;  16243;   6376;    861;
     53;  57975;  73544;   8003;  18551;  16239;   6313;    894;
     54;  60933;  73317;   8031;  18619;  16230;   6242;    878;
     55;  63910;  72965;   8134;  18687;  16161;   6116;    902;
     56;  67068;  72422;   8264;  18808;  16048;   6002;    878;
     57;  70114;  71932;   8440;  18800;  15988;   5932;    840;
     58;  73135;  71474;   8539;  18906;  15895;   5862;    798;
     59;  76186;  70874;   8675;  19090;  15694;   5768;    773;
     60;  79338;  70072;   8956;  19114;  15580;   5602;    748;
     61;  82587;  69104;   9201;  19319;  15359;   5417;    704;
     62;  85710;  68230;   9443;  19482;  15173;   5206;    696;
     63;  89005;  67042;   9749;  19694;  14958;   4964;    635;
     64;  92158;  65951;  10128;  19765;  14740;   4762;    605;
     65;  95358;  64819;  10516;  19898;  14392;   4639;    555;
     66;  98491;  63590;  10872;  20103;  14123;   4367;    535;
     67; 101656;  62202;  11302;  20279;  13810;   4133;    476;
     68; 104715;  60979;  11732;  20410;  13460;   3943;    455;
     69; 107748;  59639;  12198;  20512;  13152;   3729;    409;
     70; 110890;  58153;  12713;  20719;  12652;   3534;    382;
     71; 113943;  56667;  13257;  20798;  12311;   3289;    345;
     72; 116884;  55259;  13821;  20789;  12020;   3050;    320;
     73; 119870;  53727;  14351;  20950;  11592;   2835;    272;
     74; 122851;  52192;  14942;  21042;  11138;   2638;    240;
     75; 125743;  50662;  15605;  20969;  10786;   2439;    201;
     76; 128613;  49071;  16249;  21038;  10287;   2245;    181;
     77; 131348;  47659;  16810;  21096;   9875;   2063;    156;
     78; 134089;  46094;  17512;  21035;   9439;   1875;    139;
     79; 136847;  44435;  18252;  20996;   8939;   1691;    122;
     80; 139454;  42896;  19013;  20841;   8485;   1559;    102;
     81; 142039;  41370;  19785;  20671;   8021;   1435;     88;
     82; 144524;  39870;  20522;  20526;   7588;   1288;     76;
     83; 146857;  38482;  21226;  20352;   7202;   1154;     66;
     84; 149229;  36979;  21963;  20215;   6753;   1018;     51;
     85; 151558;  35513;  22761;  19961;   6328;    904;     46;
     86; 153846;  34029;  23575;  19694;   5897;    795;     39;
     87; 156053;  32604;  24421;  19307;   5548;    695;     29;
     88; 158201;  31186;  25276;  18917;   5169;    621;     17;
     89; 160256;  29785;  26107;  18569;   4770;    540;     14;
     90; 162206;  28494;  26919;  18162;   4437;    470;     12;
     91; 164156;  27159;  27846;  17581;   4152;    410;     11;
     92; 166011;  25850;  28698;  17129;   3809;    353;     11;
     93; 167832;  24607;  29498;  16735;   3438;    320;      9;
     94; 169555;  23440;  30304;  16228;   3197;    266;      5;
     95; 171204;  22262;  31138;  15697;   2934;    227;      4;
     96; 172759;  21162;  31954;  15130;   2720;    192;      4;
     97; 174234;  20102;  32707;  14662;   2456;    172;      3;
     98; 175725;  19016;  33542;  14054;   2251;    152;      1;
     99; 177075;  18024;  34261;  13585;   2024;    129;      1;
    100; 178383;  17066;  35002;  13044;   1842;    110;      2;
